,conversation_id,message,sentiment,history
0,1,Are you a fan of Google or Microsoft?,Curious to dive deeper,['Are you a fan of Google or Microsoft?']
1,1,Both are excellent technology they are helpful in many ways. For the security purpose both are super.,Curious to dive deeper,"['Are you a fan of Google or Microsoft?', 'Both are excellent technology they are helpful in many ways. For the security purpose both are super.']"
2,1," I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. ",Curious to dive deeper,"['Are you a fan of Google or Microsoft?', 'Both are excellent technology they are helpful in many ways. For the security purpose both are super.', "" I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. ""]"
3,1," Google provides online related services and products, which includes online ads, search engine and cloud computing.",Curious to dive deeper,"['Are you a fan of Google or Microsoft?', 'Both are excellent technology they are helpful in many ways. For the security purpose both are super.', "" I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. "", ' Google provides online related services and products, which includes online ads, search engine and cloud computing.']"
4,1," Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. ",Curious to dive deeper,"['Are you a fan of Google or Microsoft?', 'Both are excellent technology they are helpful in many ways. For the security purpose both are super.', "" I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. "", ' Google provides online related services and products, which includes online ads, search engine and cloud computing.', "" Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. ""]"
5,1,Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.,Curious to dive deeper,"['Are you a fan of Google or Microsoft?', 'Both are excellent technology they are helpful in many ways. For the security purpose both are super.', "" I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. "", ' Google provides online related services and products, which includes online ads, search engine and cloud computing.', "" Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. "", 'Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.']"
6,1,Did you know Google had hundreds of live goats to cut the grass in the past?,Curious to dive deeper,"['Are you a fan of Google or Microsoft?', 'Both are excellent technology they are helpful in many ways. For the security purpose both are super.', "" I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. "", ' Google provides online related services and products, which includes online ads, search engine and cloud computing.', "" Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. "", 'Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.', 'Did you know Google had hundreds of live goats to cut the grass in the past?']"
7,1," It is very interesting. Google provide ""Chrome OS"" which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015. ",Curious to dive deeper,"['Are you a fan of Google or Microsoft?', 'Both are excellent technology they are helpful in many ways. For the security purpose both are super.', "" I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. "", ' Google provides online related services and products, which includes online ads, search engine and cloud computing.', "" Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. "", 'Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.', 'Did you know Google had hundreds of live goats to cut the grass in the past?', ' It is very interesting. Google provide ""Chrome OS"" which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015. ']"
8,1,I like Google Chrome. Do you use it as well for your browser?,Curious to dive deeper,"['Are you a fan of Google or Microsoft?', 'Both are excellent technology they are helpful in many ways. For the security purpose both are super.', "" I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. "", ' Google provides online related services and products, which includes online ads, search engine and cloud computing.', "" Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. "", 'Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.', 'Did you know Google had hundreds of live goats to cut the grass in the past?', ' It is very interesting. Google provide ""Chrome OS"" which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015. ', 'I like Google Chrome. Do you use it as well for your browser?']"
9,1," Yes.Google is the biggest search engine and Google service figure out top 100 website, including Youtube and Blogger.",Curious to dive deeper,"['Are you a fan of Google or Microsoft?', 'Both are excellent technology they are helpful in many ways. For the security purpose both are super.', "" I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. "", ' Google provides online related services and products, which includes online ads, search engine and cloud computing.', "" Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. "", 'Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.', 'Did you know Google had hundreds of live goats to cut the grass in the past?', ' It is very interesting. Google provide ""Chrome OS"" which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015. ', 'I like Google Chrome. Do you use it as well for your browser?', ' Yes.Google is the biggest search engine and Google service figure out top 100 website, including Youtube and Blogger.']"
